Start Date,End Date,Campaign Name,Advert Name,Placement,Reach,Frequency,Impressions,Clicks,Unique Clicks,Click-through Rate (CTR),Unique Click-through Rate (uCTR),Amount Spent (EUR),Actions,People Taking Action,Page Likes,Impression Device,Destination
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,35,1.028571,36,0,0,0,0,0.11,0,0,0,iPhone,No Breakdown
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,5,1,5,0,0,0,0,0.01,0,0,0,iPad,No Breakdown
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Android Tablet,No Breakdown
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Audience Network on Third-party Mobile Apps,137,1.445255,198,4,4,2.020202,2.919708,0.08,4,4,0,Other,No Breakdown
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,7,1,7,1,1,14.285714,14.285714,0.04,1,1,0,Android Smartphone,No Breakdown
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,6,1,6,0,0,0,0,0.03,0,0,0,iPad,No Breakdown
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,15,3,45,0,0,0,0,0.02,0,0,0,Desktop,No Breakdown
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Audience Network on Third-party Mobile Apps,7,2.285714,16,0,0,0,0,0,0,0,0,Other,No Breakdown
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,21,1.047619,22,0,0,0,0,0.12,0,0,0,iPhone,No Breakdown
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Android Tablet,No Breakdown
