Start Date,End Date,Campaign Name,Advert Name,Placement,Reach,Frequency,Impressions,Clicks,Unique Clicks,Click-through Rate (CTR),Unique Click-through Rate (uCTR),Amount Spent (EUR),Actions,People Taking Action,Page Likes,Impression Device,Destination
2015-02-10,2015-02-10,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,News Feed on Mobile Devices,2,1,2,0,0,0,0,0.02,0,0,0,Android Tablet,No Breakdown
2015-02-10,2015-02-10,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,Right Column Adverts on Desktop Computers,458,1.454148,666,1,1,0.15015,0.218341,0.01,1,1,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,News Feed on Desktop Computers,23,1,23,0,0,0,0,0.06,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 3,News Feed on Mobile Devices,3,1,3,0,0,0,0,0.01,0,0,0,iPad,No Breakdown
2015-02-10,2015-02-10,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,Audience Network on Third-party Mobile Apps,656,1.707317,1120,1,1,0.089286,0.152439,0.24,2,2,0,Other,No Breakdown
2015-02-10,2015-02-10,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,Right Column Adverts on Home Page for Desktop Computers,189,1.243386,235,0,0,0,0,0.04,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,30,1.6,48,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,2,1,2,0,0,0,0,0,0,0,0,Android Smartphone,No Breakdown
2015-02-10,2015-02-10,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPad,No Breakdown
2015-02-10,2015-02-10,2015 Blue Monday - Serie A,twee vrouwen,News Feed on Mobile Devices,2,1,2,0,0,0,0,0,0,0,0,iPad,No Breakdown
2015-02-10,2015-02-10,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,5,1,5,0,0,0,0,0.01,0,0,0,iPhone,No Breakdown
2015-02-10,2015-02-10,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Desktop Computers,15,1.066667,16,0,0,0,0,0.12,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,Right Column Adverts on Desktop Computers,94,1.37234,129,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 Blue Monday - Serie A,twee vrouwen,Audience Network on Third-party Mobile Apps,67,2.089552,140,2,2,1.428571,2.985075,0.04,2,2,0,Other,No Breakdown
2015-02-10,2015-02-10,2015 Blue Monday - Serie A,twee vrouwen,News Feed on Mobile Devices,2,1,2,0,0,0,0,0.01,0,0,0,Android Smartphone,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Desktop Computers,11,1,11,0,0,0,0,0.03,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Desktop Computers,117,1.008547,118,1,1,0.847458,0.854701,0.79,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,het moet zo zijn,Right Column Adverts on Desktop Computers,282,1.382979,390,0,0,0,0,0.02,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,het moet zo zijn,Right Column Adverts on Home Page for Desktop Computers,189,1.338624,253,0,0,0,0,0.03,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,het moet zo zijn,Audience Network on Third-party Mobile Apps,1857,1.85622,3447,30,28,0.870322,1.507808,1.4,30,28,0,Other,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Desktop Computers,557,1.439856,802,0,0,0,0,0.05,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,russische reuzen,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPhone,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,russische reuzen,News Feed on Desktop Computers,11,1,11,0,0,0,0,0.02,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,612,1.277778,782,0,0,0,0,0.09,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Desktop Computers,1,1,1,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,het moet zo zijn,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Android Tablet,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Desktop Computers,3,1,3,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Audience Network on Third-party Mobile Apps,64,1.9375,124,1,1,0.806452,1.5625,0.02,1,1,0,Other,No Breakdown
2015-02-10,2015-02-10,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,News Feed on Mobile Devices,2,1,2,0,0,0,0,0,0,0,0,iPhone,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,het moet zo zijn,News Feed on Mobile Devices,11,1,11,1,1,9.090909,9.090909,0.02,5,2,0,iPad,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,het moet zo zijn,News Feed on Mobile Devices,37,1.027027,38,0,0,0,0,0.12,0,0,0,iPhone,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,het moet zo zijn,News Feed on Mobile Devices,18,1.055556,19,0,0,0,0,0.06,0,0,0,Android Smartphone,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,het moet zo zijn,News Feed on Desktop Computers,105,1,105,2,2,1.904762,1.904762,0.44,1,1,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,het moet zo zijn,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Other,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,russische reuzen,Audience Network on Third-party Mobile Apps,172,1.947674,335,4,4,1.19403,2.325581,0.1,4,4,0,Other,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,russische reuzen,Right Column Adverts on Desktop Computers,17,1.117647,19,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Desktop Computers,60,1,60,0,0,0,0,0.36,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,75,1.013333,76,1,1,1.315789,1.333333,0.14,1,1,0,iPhone,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Audience Network on Third-party Mobile Apps,2358,1.843936,4348,16,15,0.367985,0.636132,1.41,16,15,0,Other,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,Porko,Right Column Adverts on Desktop Computers,95,1.315789,125,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,Porko,Audience Network on Third-party Mobile Apps,116,1.922414,223,2,2,0.896861,1.724138,0.05,2,2,0,Other,No Breakdown
2015-02-10,2015-02-10,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,News Feed on Mobile Devices,55,1,55,0,0,0,0,0.13,2,1,0,iPhone,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,Porko,News Feed on Desktop Computers,10,1,10,0,0,0,0,0.04,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,Porko,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPhone,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,2,1,2,0,0,0,0,0,0,0,0,Android Tablet,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,41,1,41,0,0,0,0,0.1,0,0,0,Android Smartphone,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Desktop Computers,44,1.318182,58,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,23,1.217391,28,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPhone,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Audience Network on Third-party Mobile Apps,73,2.09589,153,2,2,1.30719,2.739726,0.02,2,2,0,Other,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPad,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,30,1,30,0,0,0,0,0.08,0,0,0,iPad,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,Porko,Right Column Adverts on Home Page for Desktop Computers,34,1.088235,37,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday serie B,russische reuzen,Right Column Adverts on Home Page for Desktop Computers,8,1.125,9,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-10,2015-02-10,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,News Feed on Mobile Devices,11,1,11,0,0,0,0,0.04,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Audience Network on Third-party Mobile Apps,1121,1.845674,2069,10,10,0.483325,0.892061,0.58,11,11,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,50,1.12,56,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Desktop Computers,50,1.56,78,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Audience Network on Third-party Mobile Apps,818,1.768949,1447,4,4,0.276434,0.488998,0.33,4,4,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,6,1,6,0,0,0,0,0.01,0,0,0,Android Smartphone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 3,Audience Network on Third-party Mobile Apps,963,1.758048,1693,3,3,0.1772,0.311526,0.25,3,3,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 3,News Feed on Desktop Computers,7,1,7,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 3,News Feed on Mobile Devices,3,1,3,0,0,0,0,0,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 3,News Feed on Mobile Devices,2,1,2,0,0,0,0,0,0,0,0,Android Smartphone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,2,1,2,0,0,0,0,0,0,0,0,Android Smartphone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Desktop Computers,2,1,2,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,News Feed on Desktop Computers,92,1,92,0,0,0,0,0.54,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,458,1.277293,585,1,1,0.17094,0.218341,0.05,1,1,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Desktop Computers,578,1.531142,885,0,0,0,0,0.03,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,Porko,Right Column Adverts on Desktop Computers,270,1.511111,408,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,Porko,Right Column Adverts on Home Page for Desktop Computers,28,1.107143,31,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,Audience Network on Third-party Mobile Apps,564,1.836879,1036,4,3,0.3861,0.531915,0.15,4,3,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Desktop Computers,52,1,52,0,0,0,0,0.32,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Desktop Computers,4,1,4,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 3,Right Column Adverts on Desktop Computers,184,1.36413,251,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,Audience Network on Third-party Mobile Apps,288,1.600694,461,1,1,0.21692,0.347222,0.1,1,1,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,twee vrouwen,News Feed on Desktop Computers,28,1,28,0,0,0,0,0.15,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,twee vrouwen,Right Column Adverts on Desktop Computers,42,1.428571,60,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,twee vrouwen,Right Column Adverts on Home Page for Desktop Computers,41,1.195122,49,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Desktop Computers,82,1.012195,83,0,0,0,0,0.86,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,twee vrouwen,News Feed on Mobile Devices,4,1.25,5,0,0,0,0,0.01,0,0,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,het moet zo zijn,News Feed on Mobile Devices,21,1,21,0,0,0,0,0.05,0,0,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,twee vrouwen,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Android Smartphone,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,twee vrouwen,Audience Network on Third-party Mobile Apps,447,1.693512,757,4,4,0.528402,0.894855,0.26,4,4,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,twee vrouwen,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,het moet zo zijn,News Feed on Mobile Devices,20,1,20,1,1,5,5,0.06,0,0,0,Android Smartphone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,het moet zo zijn,News Feed on Mobile Devices,26,1,26,0,0,0,0,0.13,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 3,Right Column Adverts on Home Page for Desktop Computers,218,1.376147,300,0,0,0,0,0.02,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,28,1.178571,33,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Desktop Computers,17,1.117647,19,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Desktop Computers,32,1,32,1,1,3.125,3.125,0.1,1,1,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,het moet zo zijn,News Feed on Desktop Computers,18,1,18,0,0,0,0,0.07,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,het moet zo zijn,News Feed on Mobile Devices,1,1,1,0,0,0,0,0.01,0,0,0,Android Tablet,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,het moet zo zijn,Audience Network on Third-party Mobile Apps,1330,1.891729,2516,13,13,0.516693,0.977444,0.63,13,13,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,het moet zo zijn,Right Column Adverts on Home Page for Desktop Computers,572,1.447552,828,0,0,0,0,0.08,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,het moet zo zijn,Right Column Adverts on Desktop Computers,722,1.608033,1161,0,0,0,0,0.09,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 3,News Feed on Mobile Devices,8,1,8,0,0,0,0,0.03,0,0,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,Right Column Adverts on Desktop Computers,103,1.281553,132,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,russische reuzen,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPod,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,russische reuzen,News Feed on Mobile Devices,44,1,44,1,1,2.272727,2.272727,0.09,1,1,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,Right Column Adverts on Desktop Computers,3,1,3,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,russische reuzen,Audience Network on Third-party Mobile Apps,669,1.801196,1205,5,5,0.414938,0.747384,0.27,5,5,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,russische reuzen,Right Column Adverts on Desktop Computers,41,1.268293,52,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,Audience Network on Third-party Mobile Apps,1366,1.885798,2576,7,7,0.271739,0.512445,0.55,7,7,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,russische reuzen,News Feed on Mobile Devices,15,1,15,0,0,0,0,0.04,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,russische reuzen,News Feed on Mobile Devices,14,1,14,0,0,0,0,0.03,0,0,0,Android Smartphone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,russische reuzen,Right Column Adverts on Home Page for Desktop Computers,42,1.214286,51,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,News Feed on Mobile Devices,3,1,3,0,0,0,0,0,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,News Feed on Mobile Devices,10,1,10,0,0,0,0,0.02,0,0,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,News Feed on Mobile Devices,11,1,11,0,0,0,0,0.01,0,0,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,18,1,18,2,1,11.111111,5.555556,0.08,1,1,1,Android Smartphone,All Destinations
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,,,,,,,,,,,1,Android Smartphone,Nederlands Philharmonisch Orkest | Nederlands Kamerorkest
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,russische reuzen,News Feed on Desktop Computers,93,1.010753,94,2,2,2.12766,2.150538,0.24,3,3,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPod,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,News Feed on Desktop Computers,99,1.010101,100,0,0,0,0,0.31,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,48,1,48,0,0,0,0,0.19,0,0,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,News Feed on Mobile Devices,6,1,6,1,1,16.666667,16.666667,0,0,0,0,Android Smartphone,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,14,1,14,0,0,0,0,0.05,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Android Tablet,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,Porko,News Feed on Mobile Devices,7,1,7,0,0,0,0,0,0,0,0,Android Smartphone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Android Tablet,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,Porko,News Feed on Mobile Devices,36,1,36,1,1,2.777778,2.777778,0.07,1,1,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,Porko,News Feed on Mobile Devices,10,1,10,0,0,0,0,0.02,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPod,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,News Feed on Mobile Devices,5,1,5,0,0,0,0,0.01,0,0,0,Android Smartphone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,8,1,8,0,0,0,0,0.02,1,1,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,Right Column Adverts on Desktop Computers,444,1.432432,636,0,0,0,0,0.02,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,Audience Network on Third-party Mobile Apps,1054,1.806452,1904,7,7,0.367647,0.664137,0.49,7,7,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 1,Right Column Adverts on Home Page for Desktop Computers,304,1.286184,391,0,0,0,0,0.03,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPad,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,13,1,13,0,0,0,0,0.03,0,0,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday keuze serie,www.orkest.nl/bluemonday - Website Conversions - Image 2,Right Column Adverts on Home Page for Desktop Computers,107,1.205607,129,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,Porko,Audience Network on Third-party Mobile Apps,863,1.723059,1487,6,6,0.403497,0.695249,0.29,6,6,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 Blue Monday - Serie A,www.orkest.nl/bluemonday - Website Conversions,Audience Network on Third-party Mobile Apps,452,1.765487,798,2,2,0.250627,0.442478,0.24,3,3,0,Other,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie B,Porko,News Feed on Desktop Computers,34,1,34,0,0,0,0,0.12,0,0,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,93,1.021505,95,1,1,1.052632,1.075269,0.17,1,1,0,iPhone,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Desktop Computers,160,1,160,2,1,1.25,0.625,0.69,2,2,0,Desktop,No Breakdown
2015-02-09,2015-02-09,2015 blue monday serie C,www.orkest.nl/bluemonday - Website Conversions,News Feed on Mobile Devices,36,1,36,1,1,2.777778,2.777778,0.11,1,1,0,iPad,No Breakdown
